0, 15, 21, 13, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 17, 
15, 0, 0, 0, 21, 12, 0, 0, 2, 0, 0, 0, 18, 0, 19, 
21, 0, 0, 7, 0, 0, 11, 0, 0, 0, 14, 0, 0, 0, 0, 
13, 0, 7, 0, 0, 0, 18, 4, 0, 0, 0, 0, 0, 14, 5, 
0, 21, 0, 0, 0, 10, 0, 0, 0, 0, 0, 19, 0, 0, 0, 
0, 12, 0, 0, 10, 0, 7, 0, 9, 2, 0, 13, 0, 0, 0, 
0, 0, 11, 18, 0, 7, 0, 0, 0, 0, 16, 9, 0, 2, 0, 
0, 0, 0, 4, 0, 0, 0, 0, 1, 5, 0, 0, 0, 2, 9, 
0, 2, 0, 0, 0, 9, 0, 1, 0, 2, 0, 0, 0, 0, 13, 
0, 0, 0, 0, 0, 2, 0, 5, 2, 0, 0, 0, 0, 2, 0, 
0, 0, 14, 0, 0, 0, 16, 0, 0, 0, 0, 24, 0, 0, 0, 
0, 0, 0, 0, 19, 13, 9, 0, 0, 0, 24, 0, 0, 0, 0, 
12, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 0, 0, 14, 0, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 
17, 19, 0, 5, 0, 0, 0, 9, 13, 0, 0, 0, 0, 0, 0, 
